version,task,participant,completion,ease,satisfaction,perception,time_s
V1,Find Balance,P01,1,4,5,4,62
V1,Find Balance,P02,1,3,4,3,48
V1,Find Balance,P03,1,5,4,5,12
V1,Find Balance,P04,1,5,5,5,38
V1,Find Balance,P05,1,4,4,4,55
V1,Find Balance,P06,1,3,3,3,71
V1,Find Balance,P07,0,4,5,4,145
V1,Find Balance,P08,1,3,3,3,84
V1,Find Balance,P09,1,2,5,4,78
V1,Find Balance,P10,1,4,4,4,45
V1,Find Balance,P11,1,5,4,5,32
V1,Find Balance,P12,1,1,5,3,112
V1,Find Balance,P13,1,3,3,3,58
V1,Find Balance,P14,0,2,2,2,185
V1,Find Balance,P15,0,2,3,3,145
V1,Transfer Funds,P01,1,3,2,3,95
V1,Transfer Funds,P02,1,2,1,2,125
V1,Transfer Funds,P03,1,2,1,2,82
V1,Transfer Funds,P04,1,3,2,3,110
V1,Transfer Funds,P05,1,2,2,2,145
V1,Transfer Funds,P06,0,3,4,2,180
V1,Transfer Funds,P07,1,3,2,2,98
V1,Transfer Funds,P08,0,1,1,1,210
V1,Transfer Funds,P09,1,2,2,3,115
V1,Transfer Funds,P10,1,3,2,3,105
V1,Transfer Funds,P11,0,2,1,2,190
V1,Transfer Funds,P12,1,2,2,2,135
V1,Transfer Funds,P13,1,3,2,3,88
V1,Transfer Funds,P14,0,1,1,1,220
V1,Transfer Funds,P15,0,2,1,2,200
