participant,concept_id,need_id,rating
P01,C1,N1,completely
P01,C1,N2,partially
P01,C1,N3,not_at_all
P01,C2,N1,partially
P01,C2,N2,not_at_all
P01,C2,N3,completely
P01,C3,N1,completely
P01,C3,N2,completely
P01,C3,N3,not_at_all
P02,C1,N1,completely
P02,C1,N2,not_at_all
P02,C1,N3,not_at_all
P02,C2,N1,completely
P02,C2,N2,not_at_all
P02,C2,N3,completely
P02,C3,N1,completely
P02,C3,N2,completely
P03,C1,N1,completely
P03,C1,N2,partially
P03,C1,N3,not_at_all
P03,C2,N1,partially
P03,C2,N2,partially
P03,C2,N3,completely
P03,C3,N1,partially
P03,C3,N2,completely
P04,C1,N1,partially
P04,C1,N2,partially
P04,C1,N3,not_at_all
P04,C2,N1,completely
P04,C2,N2,not_at_all
P04,C2,N3,completely
P05,C1,N1,completely
P05,C1,N2,completely
P05,C1,N3,completely
P05,C2,N1,partially
P05,C2,N2,not_at_all
P05,C2,N3,partially
